uncultured Rhodospirillaceae bacterium RUG769	PRJEB21624	SAMEA104667143	352351	[GCA_900313155.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/155/GCA_900313155.1_Rumen_uncultured_genome_RUG769)	[GCA_900313155.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/155/GCA_900313155.1_Rumen_uncultured_genome_RUG769/GCA_900313155.1_Rumen_uncultured_genome_RUG769_genomic.fna.gz)		
uncultured Rhodospirillaceae bacterium RUG772	PRJEB21624	SAMEA104667144	352351	[GCA_900313185.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/185/GCA_900313185.1_Rumen_uncultured_genome_RUG772)	[GCA_900313185.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/185/GCA_900313185.1_Rumen_uncultured_genome_RUG772/GCA_900313185.1_Rumen_uncultured_genome_RUG772_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG781	PRJEB21624	SAMEA104666864	297314	[GCA_900313265.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/265/GCA_900313265.1_Rumen_uncultured_genome_RUG781)	[GCA_900313265.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/265/GCA_900313265.1_Rumen_uncultured_genome_RUG781/GCA_900313265.1_Rumen_uncultured_genome_RUG781_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG798	PRJEB21624	SAMEA104666719	172733	[GCA_900313295.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/295/GCA_900313295.1_Rumen_uncultured_genome_RUG798)	[GCA_900313295.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/295/GCA_900313295.1_Rumen_uncultured_genome_RUG798/GCA_900313295.1_Rumen_uncultured_genome_RUG798_genomic.fna.gz)		
uncultured Prevotella sp. RUG788	PRJEB21624	SAMEA104666987	159272	[GCA_900313325.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/325/GCA_900313325.1_Rumen_uncultured_genome_RUG788)	[GCA_900313325.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/325/GCA_900313325.1_Rumen_uncultured_genome_RUG788/GCA_900313325.1_Rumen_uncultured_genome_RUG788_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG793	PRJEB21624	SAMEA104666717	172733	[GCA_900313345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/345/GCA_900313345.1_Rumen_uncultured_genome_RUG793)	[GCA_900313345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/345/GCA_900313345.1_Rumen_uncultured_genome_RUG793/GCA_900313345.1_Rumen_uncultured_genome_RUG793_genomic.fna.gz)		
uncultured Rhodospirillaceae bacterium RUG803	PRJEB21624	SAMEA104667145	352351	[GCA_900313355.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/355/GCA_900313355.1_Rumen_uncultured_genome_RUG803)	[GCA_900313355.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/355/GCA_900313355.1_Rumen_uncultured_genome_RUG803/GCA_900313355.1_Rumen_uncultured_genome_RUG803_genomic.fna.gz)		
uncultured actinobacterium RUG802	PRJEB21624	SAMEA104666311	152507	[GCA_900313395.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/395/GCA_900313395.1_Rumen_uncultured_genome_RUG802)	[GCA_900313395.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/395/GCA_900313395.1_Rumen_uncultured_genome_RUG802/GCA_900313395.1_Rumen_uncultured_genome_RUG802_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG801	PRJEB21624	SAMEA104666721	172733	[GCA_900313405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/405/GCA_900313405.1_Rumen_uncultured_genome_RUG801)	[GCA_900313405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/405/GCA_900313405.1_Rumen_uncultured_genome_RUG801/GCA_900313405.1_Rumen_uncultured_genome_RUG801_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG811	PRJEB21624	SAMEA104666866	297314	[GCA_900313435.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/435/GCA_900313435.1_Rumen_uncultured_genome_RUG811)	[GCA_900313435.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/435/GCA_900313435.1_Rumen_uncultured_genome_RUG811/GCA_900313435.1_Rumen_uncultured_genome_RUG811_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG809	PRJEB21624	SAMEA104666725	172733	[GCA_900313445.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/445/GCA_900313445.1_Rumen_uncultured_genome_RUG809)	[GCA_900313445.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/445/GCA_900313445.1_Rumen_uncultured_genome_RUG809/GCA_900313445.1_Rumen_uncultured_genome_RUG809_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG806	PRJEB21624	SAMEA104666723	172733	[GCA_900313475.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/475/GCA_900313475.1_Rumen_uncultured_genome_RUG806)	[GCA_900313475.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/475/GCA_900313475.1_Rumen_uncultured_genome_RUG806/GCA_900313475.1_Rumen_uncultured_genome_RUG806_genomic.fna.gz)		
uncultured Erysipelotrichaceae bacterium RUG813	PRJEB21624	SAMEA104666777	331630	[GCA_900313495.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/495/GCA_900313495.1_Rumen_uncultured_genome_RUG813)	[GCA_900313495.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/495/GCA_900313495.1_Rumen_uncultured_genome_RUG813/GCA_900313495.1_Rumen_uncultured_genome_RUG813_genomic.fna.gz)		
uncultured bacterium RUG807	PRJEB21624	SAMEA104666322	77133	[GCA_900313515.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/515/GCA_900313515.1_Rumen_uncultured_genome_RUG807)	[GCA_900313515.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/515/GCA_900313515.1_Rumen_uncultured_genome_RUG807/GCA_900313515.1_Rumen_uncultured_genome_RUG807_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG816	PRJEB21624	SAMEA104666727	172733	[GCA_900313535.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/535/GCA_900313535.1_Rumen_uncultured_genome_RUG816)	[GCA_900313535.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/535/GCA_900313535.1_Rumen_uncultured_genome_RUG816/GCA_900313535.1_Rumen_uncultured_genome_RUG816_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG821	PRJEB21624	SAMEA104666729	172733	[GCA_900313545.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/545/GCA_900313545.1_Rumen_uncultured_genome_RUG821)	[GCA_900313545.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/545/GCA_900313545.1_Rumen_uncultured_genome_RUG821/GCA_900313545.1_Rumen_uncultured_genome_RUG821_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG814	PRJEB21624	SAMEA104666726	172733	[GCA_900313555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/555/GCA_900313555.1_Rumen_uncultured_genome_RUG814)	[GCA_900313555.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/555/GCA_900313555.1_Rumen_uncultured_genome_RUG814/GCA_900313555.1_Rumen_uncultured_genome_RUG814_genomic.fna.gz)		
uncultured Firmicutes bacterium RUG820	PRJEB21624	SAMEA104666792	344338	[GCA_900313575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/575/GCA_900313575.1_Rumen_uncultured_genome_RUG820)	[GCA_900313575.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/575/GCA_900313575.1_Rumen_uncultured_genome_RUG820/GCA_900313575.1_Rumen_uncultured_genome_RUG820_genomic.fna.gz)		
uncultured Prevotella sp. RUG827	PRJEB21624	SAMEA104666988	159272	[GCA_900313665.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/665/GCA_900313665.1_Rumen_uncultured_genome_RUG827)	[GCA_900313665.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/665/GCA_900313665.1_Rumen_uncultured_genome_RUG827/GCA_900313665.1_Rumen_uncultured_genome_RUG827_genomic.fna.gz)		
uncultured Prevotellaceae bacterium RUG828	PRJEB21624	SAMEA104667124	370804	[GCA_900313715.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/715/GCA_900313715.1_Rumen_uncultured_genome_RUG828)	[GCA_900313715.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/715/GCA_900313715.1_Rumen_uncultured_genome_RUG828/GCA_900313715.1_Rumen_uncultured_genome_RUG828_genomic.fna.gz)		
uncultured Firmicutes bacterium RUG832	PRJEB21624	SAMEA104666793	344338	[GCA_900313725.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/725/GCA_900313725.1_Rumen_uncultured_genome_RUG832)	[GCA_900313725.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/725/GCA_900313725.1_Rumen_uncultured_genome_RUG832/GCA_900313725.1_Rumen_uncultured_genome_RUG832_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG830	PRJEB21624	SAMEA104666870	297314	[GCA_900313745.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/745/GCA_900313745.1_Rumen_uncultured_genome_RUG830)	[GCA_900313745.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/745/GCA_900313745.1_Rumen_uncultured_genome_RUG830/GCA_900313745.1_Rumen_uncultured_genome_RUG830_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG842	PRJEB21624	SAMEA104666735	172733	[GCA_900313775.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/775/GCA_900313775.1_Rumen_uncultured_genome_RUG842)	[GCA_900313775.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/775/GCA_900313775.1_Rumen_uncultured_genome_RUG842/GCA_900313775.1_Rumen_uncultured_genome_RUG842_genomic.fna.gz)		
uncultured Prevotella sp. RUG839	PRJEB21624	SAMEA104666990	159272	[GCA_900313805.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/805/GCA_900313805.1_Rumen_uncultured_genome_RUG839)	[GCA_900313805.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/805/GCA_900313805.1_Rumen_uncultured_genome_RUG839/GCA_900313805.1_Rumen_uncultured_genome_RUG839_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG840	PRJEB21624	SAMEA104666734	172733	[GCA_900313815.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/815/GCA_900313815.1_Rumen_uncultured_genome_RUG840)	[GCA_900313815.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/815/GCA_900313815.1_Rumen_uncultured_genome_RUG840/GCA_900313815.1_Rumen_uncultured_genome_RUG840_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG847	PRJEB21624	SAMEA104666738	172733	[GCA_900313855.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/855/GCA_900313855.1_Rumen_uncultured_genome_RUG847)	[GCA_900313855.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/855/GCA_900313855.1_Rumen_uncultured_genome_RUG847/GCA_900313855.1_Rumen_uncultured_genome_RUG847_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG845	PRJEB21624	SAMEA104666736	172733	[GCA_900313865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/865/GCA_900313865.1_Rumen_uncultured_genome_RUG845)	[GCA_900313865.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/865/GCA_900313865.1_Rumen_uncultured_genome_RUG845/GCA_900313865.1_Rumen_uncultured_genome_RUG845_genomic.fna.gz)		
uncultured actinobacterium RUG844	PRJEB21624	SAMEA104666312	152507	[GCA_900313875.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/875/GCA_900313875.1_Rumen_uncultured_genome_RUG844)	[GCA_900313875.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/875/GCA_900313875.1_Rumen_uncultured_genome_RUG844/GCA_900313875.1_Rumen_uncultured_genome_RUG844_genomic.fna.gz)		
uncultured actinobacterium RUG864	PRJEB21624	SAMEA104666298	152507	[GCA_900313905.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/905/GCA_900313905.1_Rumen_uncultured_genome_hRUG864)	[GCA_900313905.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/905/GCA_900313905.1_Rumen_uncultured_genome_hRUG864/GCA_900313905.1_Rumen_uncultured_genome_hRUG864_genomic.fna.gz)		
uncultured Veillonellaceae bacterium RUG860	PRJEB21624	SAMEA104667193	194923	[GCA_900313915.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/915/GCA_900313915.1_Rumen_uncultured_genome_hRUG860)	[GCA_900313915.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/915/GCA_900313915.1_Rumen_uncultured_genome_hRUG860/GCA_900313915.1_Rumen_uncultured_genome_hRUG860_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG855	PRJEB21624	SAMEA104666453	172733	[GCA_900313925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/925/GCA_900313925.1_Rumen_uncultured_genome_hRUG855)	[GCA_900313925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/925/GCA_900313925.1_Rumen_uncultured_genome_hRUG855/GCA_900313925.1_Rumen_uncultured_genome_hRUG855_genomic.fna.gz)		
uncultured Spirochaetaceae bacterium RUG865	PRJEB21624	SAMEA104667177	201186	[GCA_900313935.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/935/GCA_900313935.1_Rumen_uncultured_genome_hRUG865)	[GCA_900313935.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/935/GCA_900313935.1_Rumen_uncultured_genome_hRUG865/GCA_900313935.1_Rumen_uncultured_genome_hRUG865_genomic.fna.gz)		
uncultured Negativicutes bacterium RUG854	PRJEB21624	SAMEA104666904	1294148	[GCA_900313945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/945/GCA_900313945.1_Rumen_uncultured_genome_hRUG854)	[GCA_900313945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/945/GCA_900313945.1_Rumen_uncultured_genome_hRUG854/GCA_900313945.1_Rumen_uncultured_genome_hRUG854_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG869	PRJEB21624	SAMEA104666802	297314	[GCA_900313955.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/955/GCA_900313955.1_Rumen_uncultured_genome_hRUG869)	[GCA_900313955.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/955/GCA_900313955.1_Rumen_uncultured_genome_hRUG869/GCA_900313955.1_Rumen_uncultured_genome_hRUG869_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG853	PRJEB21624	SAMEA104666797	297314	[GCA_900313965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/965/GCA_900313965.1_Rumen_uncultured_genome_hRUG853)	[GCA_900313965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/965/GCA_900313965.1_Rumen_uncultured_genome_hRUG853/GCA_900313965.1_Rumen_uncultured_genome_hRUG853_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG851	PRJEB21624	SAMEA104666795	297314	[GCA_900313975.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/975/GCA_900313975.1_Rumen_uncultured_genome_hRUG851)	[GCA_900313975.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/975/GCA_900313975.1_Rumen_uncultured_genome_hRUG851/GCA_900313975.1_Rumen_uncultured_genome_hRUG851_genomic.fna.gz)		
uncultured Prevotellaceae bacterium RUG857	PRJEB21624	SAMEA104666991	370804	[GCA_900313985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/985/GCA_900313985.1_Rumen_uncultured_genome_hRUG857)	[GCA_900313985.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/985/GCA_900313985.1_Rumen_uncultured_genome_hRUG857/GCA_900313985.1_Rumen_uncultured_genome_hRUG857_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG859	PRJEB21624	SAMEA104666799	297314	[GCA_900313995.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/995/GCA_900313995.1_Rumen_uncultured_genome_hRUG859)	[GCA_900313995.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/313/995/GCA_900313995.1_Rumen_uncultured_genome_hRUG859/GCA_900313995.1_Rumen_uncultured_genome_hRUG859_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG867	PRJEB21624	SAMEA104666455	172733	[GCA_900314005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/005/GCA_900314005.1_Rumen_uncultured_genome_hRUG867)	[GCA_900314005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/005/GCA_900314005.1_Rumen_uncultured_genome_hRUG867/GCA_900314005.1_Rumen_uncultured_genome_hRUG867_genomic.fna.gz)		
uncultured Clostridiales bacterium RUG866	PRJEB21624	SAMEA104666454	172733	[GCA_900314015.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/015/GCA_900314015.1_Rumen_uncultured_genome_hRUG866)	[GCA_900314015.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/015/GCA_900314015.1_Rumen_uncultured_genome_hRUG866/GCA_900314015.1_Rumen_uncultured_genome_hRUG866_genomic.fna.gz)		
uncultured Prevotella sp. RUG858	PRJEB21624	SAMEA104666923	159272	[GCA_900314025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/025/GCA_900314025.1_Rumen_uncultured_genome_hRUG858)	[GCA_900314025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/025/GCA_900314025.1_Rumen_uncultured_genome_hRUG858/GCA_900314025.1_Rumen_uncultured_genome_hRUG858_genomic.fna.gz)		
uncultured Selenomonadales bacterium RUG863	PRJEB21624	SAMEA104667156	1387507	[GCA_900314035.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/035/GCA_900314035.1_Rumen_uncultured_genome_hRUG863)	[GCA_900314035.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/035/GCA_900314035.1_Rumen_uncultured_genome_hRUG863/GCA_900314035.1_Rumen_uncultured_genome_hRUG863_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG868	PRJEB21624	SAMEA104666801	297314	[GCA_900314045.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/045/GCA_900314045.1_Rumen_uncultured_genome_hRUG868)	[GCA_900314045.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/045/GCA_900314045.1_Rumen_uncultured_genome_hRUG868/GCA_900314045.1_Rumen_uncultured_genome_hRUG868_genomic.fna.gz)		
uncultured Lachnospiraceae bacterium RUG861	PRJEB21624	SAMEA104666800	297314	[GCA_900314055.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/055/GCA_900314055.1_Rumen_uncultured_genome_hRUG861)	[GCA_900314055.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/314/055/GCA_900314055.1_Rumen_uncultured_genome_hRUG861/GCA_900314055.1_Rumen_uncultured_genome_hRUG861_genomic.fna.gz)		
