Title	BioProject	BioSample	Tax ID	GenBank Accn	GenBank FTP	GenBank Accn	GenBank Assembly	RefSeq Accn	RefSeq FTP	RefSeq Accn	RefSeq Assembly
Anaerovibrio sp. RM50 	PRJNA223479	SAMN02744020	1200557	GCA_000622005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/005/GCA_000622005.1_ASM62200v1	GCA_000622005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/622/005/GCA_000622005.1_ASM62200v1/GCA_000622005.1_ASM62200v1_genomic.fna.gz	GCF_000622005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/005/GCF_000622005.1_ASM62200v1	GCF_000622005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/622/005/GCF_000622005.1_ASM62200v1/GCF_000622005.1_ASM62200v1_genomic.fna.gz
Bacillus cereus KPR-7A 	PRJEB15728	SAMN04487767	1396	GCA_900101305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/305/GCA_900101305.1_IMG-taxon_2606217805_annotated_assembly	GCA_900101305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/305/GCA_900101305.1_IMG-taxon_2606217805_annotated_assembly/GCA_900101305.1_IMG-taxon_2606217805_annotated_assembly_genomic.fna.gz	GCF_900101305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/305/GCF_900101305.1_IMG-taxon_2606217805_annotated_assembly	GCF_900101305.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/305/GCF_900101305.1_IMG-taxon_2606217805_annotated_assembly/GCF_900101305.1_IMG-taxon_2606217805_annotated_assembly_genomic.fna.gz
Bacillus licheniformis VTM3R78 	PRJEB16989	SAMN04487883	1402	GCA_900110715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/110/715/GCA_900110715.1_IMG-taxon_2623620452_annotated_assembly	GCA_900110715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/110/715/GCA_900110715.1_IMG-taxon_2623620452_annotated_assembly/GCA_900110715.1_IMG-taxon_2623620452_annotated_assembly_genomic.fna.gz	GCF_900110715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/715/GCF_900110715.1_IMG-taxon_2623620452_annotated_assembly	GCF_900110715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/715/GCF_900110715.1_IMG-taxon_2623620452_annotated_assembly/GCF_900110715.1_IMG-taxon_2623620452_annotated_assembly_genomic.fna.gz
Bacillus sp. MB2021 	PRJNA223041	SAMN02841167	1408303	GCA_000701605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/701/605/GCA_000701605.1_ASM70160v1	GCA_000701605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/701/605/GCA_000701605.1_ASM70160v1/GCA_000701605.1_ASM70160v1_genomic.fna.gz	GCF_000701605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/605/GCF_000701605.1_ASM70160v1	GCF_000701605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/605/GCF_000701605.1_ASM70160v1/GCF_000701605.1_ASM70160v1_genomic.fna.gz
Bacteroidales bacterium Ga6A1 	PRJNA223492	SAMN02841199	1410608	GCA_000702225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/225/GCA_000702225.1_ASM70222v1	GCA_000702225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/225/GCA_000702225.1_ASM70222v1/GCA_000702225.1_ASM70222v1_genomic.fna.gz	GCF_000702225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/225/GCF_000702225.1_ASM70222v1	GCF_000702225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/225/GCF_000702225.1_ASM70222v1/GCF_000702225.1_ASM70222v1_genomic.fna.gz
Bacteroidales bacterium Ga6A2 	PRJNA223498	SAMN02841198	1410607	GCA_000702285.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/285/GCA_000702285.1_ASM70228v1	GCA_000702285.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/285/GCA_000702285.1_ASM70228v1/GCA_000702285.1_ASM70228v1_genomic.fna.gz	GCF_000702285.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/285/GCF_000702285.1_ASM70228v1	GCF_000702285.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/285/GCF_000702285.1_ASM70228v1/GCF_000702285.1_ASM70228v1_genomic.fna.gz
Bacteroidales bacterium KHT7 	PRJEB15840	SAMN05216518	1855373	GCA_900102385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/385/GCA_900102385.1_IMG-taxon_2654588178_annotated_assembly	GCA_900102385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/385/GCA_900102385.1_IMG-taxon_2654588178_annotated_assembly/GCA_900102385.1_IMG-taxon_2654588178_annotated_assembly_genomic.fna.gz	GCF_900102385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/385/GCF_900102385.1_IMG-taxon_2654588178_annotated_assembly	GCF_900102385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/385/GCF_900102385.1_IMG-taxon_2654588178_annotated_assembly/GCF_900102385.1_IMG-taxon_2654588178_annotated_assembly_genomic.fna.gz
Bacteroidales bacterium WCE2004 	PRJEB19695	SAMN06298214	1945890	GCA_900167895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/167/895/GCA_900167895.1_IMG-taxon_2623620625_annotated_assembly	GCA_900167895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/167/895/GCA_900167895.1_IMG-taxon_2623620625_annotated_assembly/GCA_900167895.1_IMG-taxon_2623620625_annotated_assembly_genomic.fna.gz	GCF_900167895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/167/895/GCF_900167895.1_IMG-taxon_2623620625_annotated_assembly	GCF_900167895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/167/895/GCF_900167895.1_IMG-taxon_2623620625_annotated_assembly/GCF_900167895.1_IMG-taxon_2623620625_annotated_assembly_genomic.fna.gz
Bacteroidales bacterium WCE2008 	PRJEB19694	SAMN06298215	1945891	GCA_900167925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/167/925/GCA_900167925.1_IMG-taxon_2623620621_annotated_assembly	GCA_900167925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/167/925/GCA_900167925.1_IMG-taxon_2623620621_annotated_assembly/GCA_900167925.1_IMG-taxon_2623620621_annotated_assembly_genomic.fna.gz	GCF_900167925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/167/925/GCF_900167925.1_IMG-taxon_2623620621_annotated_assembly	GCF_900167925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/167/925/GCF_900167925.1_IMG-taxon_2623620621_annotated_assembly/GCF_900167925.1_IMG-taxon_2623620621_annotated_assembly_genomic.fna.gz
Bacteroides ovatus NLAE-zl-C500 	PRJEB15677	SAMN05192581	28116	GCA_900102645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/645/GCA_900102645.1_IMG-taxon_2654588143_annotated_assembly	GCA_900102645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/102/645/GCA_900102645.1_IMG-taxon_2654588143_annotated_assembly/GCA_900102645.1_IMG-taxon_2654588143_annotated_assembly_genomic.fna.gz	GCF_900102645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/645/GCF_900102645.1_IMG-taxon_2654588143_annotated_assembly	GCF_900102645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/645/GCF_900102645.1_IMG-taxon_2654588143_annotated_assembly/GCF_900102645.1_IMG-taxon_2654588143_annotated_assembly_genomic.fna.gz
Bacteroides ovatus NLAE-zl-C57 	PRJEB15940	SAMN05192582	28116	GCA_900100465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/465/GCA_900100465.1_IMG-taxon_2654588146_annotated_assembly	GCA_900100465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/100/465/GCA_900100465.1_IMG-taxon_2654588146_annotated_assembly/GCA_900100465.1_IMG-taxon_2654588146_annotated_assembly_genomic.fna.gz	GCF_900100465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/465/GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly	GCF_900100465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/100/465/GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly/GCF_900100465.1_IMG-taxon_2654588146_annotated_assembly_genomic.fna.gz
Bacteroides sp. AR20 	PRJEB16891	SAMN02910431	93974	GCA_900109965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/965/GCA_900109965.1_IMG-taxon_2593339260_annotated_assembly	GCA_900109965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/965/GCA_900109965.1_IMG-taxon_2593339260_annotated_assembly/GCA_900109965.1_IMG-taxon_2593339260_annotated_assembly_genomic.fna.gz	GCF_900109965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/965/GCF_900109965.1_IMG-taxon_2593339260_annotated_assembly	GCF_900109965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/965/GCF_900109965.1_IMG-taxon_2593339260_annotated_assembly/GCF_900109965.1_IMG-taxon_2593339260_annotated_assembly_genomic.fna.gz
Bacteroides sp. AR29 	PRJEB22291	SAMN02910274	93975	GCA_900217715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/217/715/GCA_900217715.1_IMG-taxon_2596583541_annotated_assembly	GCA_900217715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/217/715/GCA_900217715.1_IMG-taxon_2596583541_annotated_assembly/GCA_900217715.1_IMG-taxon_2596583541_annotated_assembly_genomic.fna.gz	GCF_900217715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/217/715/GCF_900217715.1_IMG-taxon_2596583541_annotated_assembly	GCF_900217715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/217/715/GCF_900217715.1_IMG-taxon_2596583541_annotated_assembly/GCF_900217715.1_IMG-taxon_2596583541_annotated_assembly_genomic.fna.gz
Bacteroides thetaiotaomicron KPPR-3 	PRJEB16826	SAMN02910322	818	GCA_900109385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/385/GCA_900109385.1_IMG-taxon_2593339226_annotated_assembly	GCA_900109385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/385/GCA_900109385.1_IMG-taxon_2593339226_annotated_assembly/GCA_900109385.1_IMG-taxon_2593339226_annotated_assembly_genomic.fna.gz	GCF_900109385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/385/GCF_900109385.1_IMG-taxon_2593339226_annotated_assembly	GCF_900109385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/385/GCF_900109385.1_IMG-taxon_2593339226_annotated_assembly/GCF_900109385.1_IMG-taxon_2593339226_annotated_assembly_genomic.fna.gz
Bacteroides thetaiotaomicron NLAE-zl-C579 	PRJEB16696	SAMN05216253	818	GCA_900108155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/108/155/GCA_900108155.1_IMG-taxon_2654588179_annotated_assembly	GCA_900108155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/108/155/GCA_900108155.1_IMG-taxon_2654588179_annotated_assembly/GCA_900108155.1_IMG-taxon_2654588179_annotated_assembly_genomic.fna.gz	GCF_900108155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/155/GCF_900108155.1_IMG-taxon_2654588179_annotated_assembly	GCF_900108155.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/155/GCF_900108155.1_IMG-taxon_2654588179_annotated_assembly/GCF_900108155.1_IMG-taxon_2654588179_annotated_assembly_genomic.fna.gz
Bacteroides vulgatus NLAE-zl-G202 	PRJEB16837	SAMN04487923	821	GCA_900109635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/635/GCA_900109635.1_IMG-taxon_2623620522_annotated_assembly	GCA_900109635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/635/GCA_900109635.1_IMG-taxon_2623620522_annotated_assembly/GCA_900109635.1_IMG-taxon_2623620522_annotated_assembly_genomic.fna.gz	GCF_900109635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/635/GCF_900109635.1_IMG-taxon_2623620522_annotated_assembly	GCF_900109635.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/635/GCF_900109635.1_IMG-taxon_2623620522_annotated_assembly/GCF_900109635.1_IMG-taxon_2623620522_annotated_assembly_genomic.fna.gz
Bacteroides xylanisolvens NLAE-zl-C202 	PRJEB17489	SAMN05216250	371601	GCA_900114865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/865/GCA_900114865.1_IMG-taxon_2654588180_annotated_assembly	GCA_900114865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/865/GCA_900114865.1_IMG-taxon_2654588180_annotated_assembly/GCA_900114865.1_IMG-taxon_2654588180_annotated_assembly_genomic.fna.gz	GCF_900114865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/865/GCF_900114865.1_IMG-taxon_2654588180_annotated_assembly	GCF_900114865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/865/GCF_900114865.1_IMG-taxon_2654588180_annotated_assembly/GCF_900114865.1_IMG-taxon_2654588180_annotated_assembly_genomic.fna.gz
Bacteroides xylanisolvens NLAE-zl-G339 	PRJEB16671	SAMN04487924	371601	GCA_900107825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/825/GCA_900107825.1_IMG-taxon_2623620516_annotated_assembly	GCA_900107825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/107/825/GCA_900107825.1_IMG-taxon_2623620516_annotated_assembly/GCA_900107825.1_IMG-taxon_2623620516_annotated_assembly_genomic.fna.gz	GCF_900107825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/825/GCF_900107825.1_IMG-taxon_2623620516_annotated_assembly	GCF_900107825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/825/GCF_900107825.1_IMG-taxon_2623620516_annotated_assembly/GCF_900107825.1_IMG-taxon_2623620516_annotated_assembly_genomic.fna.gz
Basfia succiniciproducens JF4016 DSM 22022	PRJEB15727	SAMN02910354	653940	GCA_900101275.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/275/GCA_900101275.1_IMG-taxon_2593339214_annotated_assembly	GCA_900101275.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/275/GCA_900101275.1_IMG-taxon_2593339214_annotated_assembly/GCA_900101275.1_IMG-taxon_2593339214_annotated_assembly_genomic.fna.gz	GCF_900101275.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/275/GCF_900101275.1_IMG-taxon_2593339214_annotated_assembly	GCF_900101275.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/275/GCF_900101275.1_IMG-taxon_2593339214_annotated_assembly/GCF_900101275.1_IMG-taxon_2593339214_annotated_assembly_genomic.fna.gz
Basfia succiniciproducens KPR-2 	PRJEB16990	SAMN02910415	653940	GCA_900110905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/110/905/GCA_900110905.1_IMG-taxon_2593339215_annotated_assembly	GCA_900110905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/110/905/GCA_900110905.1_IMG-taxon_2593339215_annotated_assembly/GCA_900110905.1_IMG-taxon_2593339215_annotated_assembly_genomic.fna.gz	GCF_900110905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/905/GCF_900110905.1_IMG-taxon_2593339215_annotated_assembly	GCF_900110905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/905/GCF_900110905.1_IMG-taxon_2593339215_annotated_assembly/GCF_900110905.1_IMG-taxon_2593339215_annotated_assembly_genomic.fna.gz
Bifidobacterium adolescentis RU424 DSM 20087	PRJNA223463	SAMN02841222	1410644	GCA_000702865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/865/GCA_000702865.1_ASM70286v1	GCA_000702865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/702/865/GCA_000702865.1_ASM70286v1/GCA_000702865.1_ASM70286v1_genomic.fna.gz	GCF_000702865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/865/GCF_000702865.1_ASM70286v1	GCF_000702865.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/865/GCF_000702865.1_ASM70286v1/GCF_000702865.1_ASM70286v1_genomic.fna.gz
Bifidobacterium bifidum Calf96 	PRJEB17194	SAMN05216254	1681	GCA_900112465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/112/465/GCA_900112465.1_IMG-taxon_2654588208_annotated_assembly	GCA_900112465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/112/465/GCA_900112465.1_IMG-taxon_2654588208_annotated_assembly/GCA_900112465.1_IMG-taxon_2654588208_annotated_assembly_genomic.fna.gz	GCF_900112465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/465/GCF_900112465.1_IMG-taxon_2654588208_annotated_assembly	GCF_900112465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/465/GCF_900112465.1_IMG-taxon_2654588208_annotated_assembly/GCF_900112465.1_IMG-taxon_2654588208_annotated_assembly_genomic.fna.gz
