Genome	Strain	Culture collection #	taxon_oid	Sequencing Technology	Assembly Method	Sequencing Depth (fold coverage)	CheckM Completeness (%)	Genome Size (bp)	Gene Count 	CDS Count   	Coding Base Count %   	GC   	COG Count   	KO Count	Pfam Count	TIGRfam Count	With Function Prediction %	Scaffold Count	HunTitle	BioProject	BioSample	Tax ID	GenBank FTP	GenBank Assembly	GenBank Accession	GenBank FTP	Genbank assembly file	RefSeq FTP	RefSeq Assembly	RefSeq accession	RefSeq FTP	RefSeq Assembly file
Lachnobacterium bovis	NK4B19		2524614717	Illumina HiSeq	ALLPATHS/Velvet	448.702	99.52	2514800	2358	2301	88.05	0.31	1473	1189	1807	809	74.55	130	Lachnobacterium bovis NK4B19 	PRJNA185713	SAMN02440897	877445	[GCA_000421025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/025/GCA_000421025.1_ASM42102v1)	[GCA_000421025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/025/GCA_000421025.1_ASM42102v1/GCA_000421025.1_ASM42102v1_genomic.fna.gz)	GCA_000421025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/025/GCA_000421025.1_ASM42102v1	GCA_000421025.1_ASM42102v1_genomic.fna.gz	[GCF_000421025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/025/GCF_000421025.1_ASM42102v1)	[GCF_000421025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/025/GCF_000421025.1_ASM42102v1/GCF_000421025.1_ASM42102v1_genomic.fna.gz)	GCF_000421025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/025/GCF_000421025.1_ASM42102v1	GCF_000421025.1_ASM42102v1_genomic.fna.gz
Lachnospiraceae bacterium	NK4A179		2524614704	Illumina HiSeq	ALLPATHS/Velvet	299.897	97.37	3222863	2981	2919	92.19	0.43	1771	1300	2274	824	73.47	73	Lachnospiraceae bacterium NK4A179 	PRJNA185714	SAMN02440898	877424	[GCA_000421045.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/045/GCA_000421045.1_ASM42104v1)	[GCA_000421045.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/045/GCA_000421045.1_ASM42104v1/GCA_000421045.1_ASM42104v1_genomic.fna.gz)	GCA_000421045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/045/GCA_000421045.1_ASM42104v1	GCA_000421045.1_ASM42104v1_genomic.fna.gz	[GCF_000421045.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/045/GCF_000421045.1_ASM42104v1)	[GCF_000421045.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/045/GCF_000421045.1_ASM42104v1/GCF_000421045.1_ASM42104v1_genomic.fna.gz)	GCF_000421045.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/045/GCF_000421045.1_ASM42104v1	GCF_000421045.1_ASM42104v1_genomic.fna.gz
Treponema bryantii	NK4A124		2524614681	Illumina HiSeq	ALLPATHS/Velvet	441.785	100	3309485	2922	2865	92.75	0.4	1646	1242	2160	734	71.36	28	Treponema bryantii NK4A124 	PRJNA185719	SAMN02441227	877418	[GCA_000421345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/345/GCA_000421345.1_ASM42134v1)	[GCA_000421345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/345/GCA_000421345.1_ASM42134v1/GCA_000421345.1_ASM42134v1_genomic.fna.gz)	GCA_000421345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/345/GCA_000421345.1_ASM42134v1	GCA_000421345.1_ASM42134v1_genomic.fna.gz	[GCF_000421345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/345/GCF_000421345.1_ASM42134v1)	[GCF_000421345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/345/GCF_000421345.1_ASM42134v1/GCF_000421345.1_ASM42134v1_genomic.fna.gz)	GCF_000421345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/345/GCF_000421345.1_ASM42134v1	GCF_000421345.1_ASM42134v1_genomic.fna.gz
Bifidobacterium pseudolongum subsp. globosum	AGR2145		2524614684	Illumina HiSeq	ALLPATHS/Velvet	397.602	100	1992204	1714	1654	89.61	0.63	1119	952	1385	580	77.89	30	Bifidobacterium pseudolongum subsp. globosum AGR2145 	PRJNA185720	SAMN02440890	1280701	[GCA_000421365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/365/GCA_000421365.1_ASM42136v1)	[GCA_000421365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/365/GCA_000421365.1_ASM42136v1/GCA_000421365.1_ASM42136v1_genomic.fna.gz)	GCA_000421365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/365/GCA_000421365.1_ASM42136v1	GCA_000421365.1_ASM42136v1_genomic.fna.gz	[GCF_000421365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/365/GCF_000421365.1_ASM42136v1)	[GCF_000421365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/365/GCF_000421365.1_ASM42136v1/GCF_000421365.1_ASM42136v1_genomic.fna.gz)	GCF_000421365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/365/GCF_000421365.1_ASM42136v1	GCF_000421365.1_ASM42136v1_genomic.fna.gz
Bifidobacterium longum subsp. suis	AGR2137		2524614683	Illumina HiSeq	ALLPATHS/Velvet	407.394	99.54	2270377	1971	1897	87.02	0.6	1250	1081	1586	629	78.18	49	Bifidobacterium longum subsp. suis AGR2137 	PRJNA185722	SAMN02441228	1280702	[GCA_000421385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/385/GCA_000421385.1_ASM42138v1)	[GCA_000421385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/385/GCA_000421385.1_ASM42138v1/GCA_000421385.1_ASM42138v1_genomic.fna.gz)	GCA_000421385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/385/GCA_000421385.1_ASM42138v1	GCA_000421385.1_ASM42138v1_genomic.fna.gz	[GCF_000421385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/385/GCF_000421385.1_ASM42138v1)	[GCF_000421385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/385/GCF_000421385.1_ASM42138v1/GCF_000421385.1_ASM42138v1_genomic.fna.gz)	GCF_000421385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/385/GCF_000421385.1_ASM42138v1	GCF_000421385.1_ASM42138v1_genomic.fna.gz
Butyrivibrio sp.	NC2007		2524614696	Illumina HiSeq	ALLPATHS/Velvet	684.341	99.57	4000398	3627	3562	91.98	0.44	2157	1576	2780	944	73.53	54	Butyrivibrio sp. NC2007 	PRJNA185725	SAMN02440583	1280683	[GCA_000421405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/405/GCA_000421405.1_ASM42140v1)	[GCA_000421405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/405/GCA_000421405.1_ASM42140v1/GCA_000421405.1_ASM42140v1_genomic.fna.gz)	GCA_000421405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/405/GCA_000421405.1_ASM42140v1	GCA_000421405.1_ASM42140v1_genomic.fna.gz	[GCF_000421405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/405/GCF_000421405.1_ASM42140v1)	[GCF_000421405.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/405/GCF_000421405.1_ASM42140v1/GCF_000421405.1_ASM42140v1_genomic.fna.gz)	GCF_000421405.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/405/GCF_000421405.1_ASM42140v1	GCF_000421405.1_ASM42140v1_genomic.fna.gz
Streptococcus equinus	SN033		2524614842	Illumina HiSeq	ALLPATHS/Velvet	246.832	99.81	1843423	1833	1782	90.52	0.37	1394	1112	1584	746	82.38	13	Streptococcus equinus SN033 	PRJNA185730	SAMN02440584	1280704	[GCA_000421425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/425/GCA_000421425.1_ASM42142v1)	[GCA_000421425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/425/GCA_000421425.1_ASM42142v1/GCA_000421425.1_ASM42142v1_genomic.fna.gz)	GCA_000421425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/421/425/GCA_000421425.1_ASM42142v1	GCA_000421425.1_ASM42142v1_genomic.fna.gz	[GCF_000421425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/425/GCF_000421425.1_ASM42142v1)	[GCF_000421425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/425/GCF_000421425.1_ASM42142v1/GCF_000421425.1_ASM42142v1_genomic.fna.gz)	GCF_000421425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/421/425/GCF_000421425.1_ASM42142v1	GCF_000421425.1_ASM42142v1_genomic.fna.gz
Butyrivibrio sp.	VCD2006		2524614691	Illumina HiSeq	ALLPATHS/Velvet	380.995	99.58	4705279	4111	4018	88.94	0.41	2328	1660	3146	1010	73.41	66	Butyrivibrio sp. VCD2006 	PRJNA185679	SAMN02440827	1280664	[GCA_000423925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/925/GCA_000423925.1_ASM42392v1)	[GCA_000423925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/925/GCA_000423925.1_ASM42392v1/GCA_000423925.1_ASM42392v1_genomic.fna.gz)	GCA_000423925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/925/GCA_000423925.1_ASM42392v1	GCA_000423925.1_ASM42392v1_genomic.fna.gz	[GCF_000423925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/925/GCF_000423925.1_ASM42392v1)	[GCF_000423925.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/925/GCF_000423925.1_ASM42392v1/GCF_000423925.1_ASM42392v1_genomic.fna.gz)	GCF_000423925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/925/GCF_000423925.1_ASM42392v1	GCF_000423925.1_ASM42392v1_genomic.fna.gz
Butyrivibrio sp.	XPD2002		2524614695	Illumina HiSeq	ALLPATHS/Velvet	163.412	99.58	4442963	4047	3957	89.59	0.42	2289	1612	3023	985	71.95	47	Butyrivibrio sp. XPD2002 	PRJNA185680	SAMN02440664	1280665	[GCA_000423945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/945/GCA_000423945.1_ASM42394v1)	[GCA_000423945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/945/GCA_000423945.1_ASM42394v1/GCA_000423945.1_ASM42394v1_genomic.fna.gz)	GCA_000423945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/945/GCA_000423945.1_ASM42394v1	GCA_000423945.1_ASM42394v1_genomic.fna.gz	[GCF_000423945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/945/GCF_000423945.1_ASM42394v1)	[GCF_000423945.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/945/GCF_000423945.1_ASM42394v1/GCF_000423945.1_ASM42394v1_genomic.fna.gz)	GCF_000423945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/945/GCF_000423945.1_ASM42394v1	GCF_000423945.1_ASM42394v1_genomic.fna.gz
Butyrivibrio sp.	VCB2001		2524614716	Illumina HiSeq	ALLPATHS/Velvet	287.66	99.57	4016637	3637	3564	92.28	0.44	2191	1593	2833	944	74.54	43	Butyrivibrio sp. VCB2001 	PRJNA185682	SAMN02440665	1280667	[GCA_000423965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/965/GCA_000423965.1_ASM42396v1)	[GCA_000423965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/965/GCA_000423965.1_ASM42396v1/GCA_000423965.1_ASM42396v1_genomic.fna.gz)	GCA_000423965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/423/965/GCA_000423965.1_ASM42396v1	GCA_000423965.1_ASM42396v1_genomic.fna.gz	[GCF_000423965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/965/GCF_000423965.1_ASM42396v1)	[GCF_000423965.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/965/GCF_000423965.1_ASM42396v1/GCF_000423965.1_ASM42396v1_genomic.fna.gz)	GCF_000423965.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/965/GCF_000423965.1_ASM42396v1	GCF_000423965.1_ASM42396v1_genomic.fna.gz
